Constellation,RA,Dec,SA,,
Hydra,174.1825,-14.53183333,1302.844,,
Virgo,201.0975,-4.1585,1294.428,,
Ursa Major,169.69,50.72116667,1279.66,,
Cetus,25.025,-7.179333333,1231.411,,
Hercules,260.79,27.49883333,1225.148,,
Eridanus,49.505,-28.75616667,1137.919,,
Pegasus,340.46,19.46633333,1120.794,,
Draco,227.16,67.00666667,1082.952,,
Centaurus,196.0675,-47.34533333,1060.422,,
Aquarius,334.345,-10.78916667,979.854,,
Ophiuchus,260.9225,-7.912333333,948.34,,
Leo,160.0075,13.13866667,946.964,,
Boötes,220.66,31.20266667,906.831,,
Pisces,7.2425,13.68716667,889.417,,
Sagittarius,286.485,-28.47683333,867.432,,
Cygnus,308.82,44.545,803.983,,
Taurus,70.5325,14.87716667,797.249,,
Camelopardalis,132.8425,69.3815,756.828,,
Andromeda,12.115,37.43183333,722.278,,
Puppis,108.87,-31.17733333,673.434,,
Auriga,91.105,42.028,657.438,,
Aquila,295.005,3.410833333,652.473,,
Serpens [5],254.26,6.122,636.928,,
Perseus,47.625,45.01316667,614.997,,
Cassiopeia,19.79,62.184,598.407,,
Orion,83.6475,5.949,594.12,,
Cepheus,38.16,71.0085,587.787,,
Lynx,119.8825,47.46666667,545.386,,
Libra,227.99,-15.23466667,538.052,,
Gemini,106.06,22.60016667,513.761,,
Cancer,129.74,19.80583333,505.872,,
Vela,143.66,-47.16716667,499.649,,
Scorpius,253.31,-27.0315,496.783,,
Carina,130.425,-63.21933333,494.184,,
Monoceros,105.9075,0,481.569,,
Sculptor,6.57,-32.08833333,474.764,,
Phoenix,13.9775,-48.58066667,469.319,,
Canes Venatici,196.74,40.10183333,465.194,,
Aries,39.54,20.79233333,441.395,,
Capricornus,315.7325,-18.02316667,413.947,,
Fornax,41.97,-31.6345,397.502,,
Coma Berenices,191.8175,23.30566667,386.475,,
Canis Major,102.435,-22.14033333,380.118,,
Pavo,294.1775,-65.7815,377.666,,
Grus,336.8475,-46.35183333,365.513,,
Lupus,228.3025,-42.70883333,333.683,,
Sextans,154.0725,-2.614666667,313.515,,
Tucana,356.66,-65.83,294.557,,
Indus,329.5825,-59.70666667,294.006,,
Octans,345,-82.152,291.045,,
Lepus,83.4875,-19.04633333,290.291,,
Lyra,282.7925,36.68933333,286.476,,
Crater,170.9375,-15.929,282.398,,
Columba,87.94,-35.0945,270.184,,
Vulpecula,303.47,24.44266667,268.165,,
Ursa Minor,225,77.69983333,255.864,,
Telescopium,289.885,-51.03683333,251.512,,
Horologium,49.14,-53.33633333,248.885,,
Pictor,85.615,-53.47416667,246.739,,
Piscis Austrinus,334.2675,-30.64216667,245.375,,
Hydrus,35.1625,-69.9565,243.035,,
Antlia,154.1075,-32.4835,238.901,,
Ara,260.6225,-56.58833333,237.057,,
Leo Minor,153.68,32.13466667,231.956,,
Pyxis,134.29,-27.35166667,220.833,,
Microscopium,314.47,-36.27483333,209.513,,
Apus,242.1625,-75.3,206.327,,
Lacerta,336.92,46.04183333,200.688,,
Delphinus,310.4025,11.671,188.549,,
Corvus,186.63,-18.43666667,183.801,,
Canis Minor,114.7925,6.427166667,183.367,,
Dorado,78.6275,-59.387,179.173,,
Corona Borealis,237.6475,32.62483333,178.71,,
Norma,238.545,-51.3515,165.29,,
Mensa,81.225,-77.504,153.484,,
Volans,116.9325,-69.80116667,141.354,,
Musca,188.82,-70.161,138.355,,
Triangulum,32.7675,31.476,131.847,,
Chamaeleon,160.3825,-79.205,131.592,,
Corona Australis,279.6975,-41.1475,127.696,,
Caelum,70.5675,-37.88166667,124.865,,
Reticulum,58.8175,-59.9975,113.936,,
Triangulum Australe,241.2375,-65.388,109.978,,
Scutum,280.0975,-9.888666667,109.114,,
Circinus,218.635,-63.03033333,93.353,,
Sagitta,294.7625,18.86133333,79.932,,
Equuleus,317.815,7.758166667,71.641,,
Crux,186.7475,-60.1865,68.447,,
