HIP,Radeg,Dedeg,Hpmag
25,0.07936602,-44.2902973,6.4211
43,0.12908906,59.55973786,6.3456
63,0.18174967,45.253333,6.3484
88,0.26915945,-48.80985914,5.869
106,0.33016475,49.98158502,6.3864
107,0.33380178,-50.33739916,5.6243
122,0.39937881,-77.06529443,4.9354
124,0.40424529,61.2228039,5.6725
137,0.43268934,42.3671483,6.2437
145,0.45598909,-3.02747915,5.0831
154,0.48996493,-6.01397145,4.412
171,0.54018854,27.08448917,5.8735
183,0.58297533,-29.72044838,4.9895
186,0.60069765,8.95683357,6.3912
194,0.62398923,8.4855784,5.7806
207,0.65034381,66.09896232,6.0384
238,0.73927406,-20.04607413,6.3687
274,0.85715514,63.64052497,6.3325
301,0.93488525,-17.33596994,4.5366
302,0.96511472,66.71220286,6.3544
330,1.05693208,62.28766468,5.9712
343,1.0823396,-16.52888977,5.9562
345,1.08457416,-29.26883034,6.3909
355,1.12550974,-10.50949437,5.0996
365,1.15248328,42.09256177,6.1627
377,1.17188754,-71.43685826,5.5635
379,1.17432274,67.16638779,5.8511
394,1.2217286,34.65955197,6.2283
399,1.23302973,26.64879959,6.3941
417,1.26581887,-0.50290549,6.4798
418,1.27555237,61.31396451,5.7814
443,1.33394067,-5.70783238,4.7803
476,1.42473245,13.39628233,5.7076
518,1.56474412,58.43668987,6.1061
522,1.57776313,-49.07509412,5.8163
531,1.61052837,64.19616866,5.5684
544,1.6522111,29.02193534,6.2093
560,1.70843592,-23.10742534,6.275
602,1.82613791,-17.38703091,6.2536
635,1.93373154,-2.54868603,6.3985
636,1.94523211,-22.50847536,5.9806
655,2.01465531,-33.52933373,5.8385
664,2.05038305,-2.44769889,6.3245
671,2.07313617,-8.8240253,6.1569
677,2.09653385,29.09082837,2.0371
696,2.13953211,-17.57804014,6.201
699,2.17092341,36.62742812,6.3175
716,2.21695364,25.4628516,6.4099
729,2.25974242,18.21202521,5.7323
730,2.2597776,-54.0019627,6.4622
746,2.2920403,59.15021806,2.3579
760,2.33262135,79.71464134,6.0767
761,2.33758603,-27.9879038,5.51
765,2.35224983,-45.74698832,4.0452
798,2.46706472,-62.29683683,6.3956
813,2.50910232,11.14580907,5.5212
814,2.50945407,-82.22399741,5.453
840,2.57853859,-5.248517,6.0071
841,2.58017491,46.07227154,5.1174
873,2.67810586,-12.57980377,6.0159
910,2.81628367,-15.46732273,5.0025
930,2.89340455,-27.79977841,5.577
950,2.9328672,-35.13339602,5.3425
967,2.99596728,48.15237109,6.3112
983,3.04145454,-17.9382176,5.4056
1067,3.30895847,15.1836161,2.7544
1074,3.33145157,-84.99402084,5.8488
1076,3.34972191,26.98762539,6.3777
1086,3.37889717,41.03572675,5.7891
1096,3.42591832,-26.0221542,6.0582
1099,3.43491474,-26.28498313,6.2668
1123,3.50952686,33.20608457,6.2305
1158,3.61496759,-7.78053798,5.1798
1168,3.6504504,20.20669713,4.8756
1170,3.66013616,-18.9326863,4.5262
1191,3.72708879,-9.56955074,5.7506
1193,3.73279435,22.28425204,6.2571
1195,3.74253249,-34.9041937,6.3152
1196,3.74492301,8.82102239,6.1001
1208,3.77886508,31.53573777,6.4635
1215,3.79397766,27.28347712,6.362
1288,4.0366069,-31.44632826,5.811
1296,4.05785367,76.95076267,6.3454
1302,4.0895855,43.59510616,6.1496
1319,4.14190517,8.24018997,6.28
1331,4.17644797,-20.21005696,6.4702
1339,4.19031688,10.24475765,6.4955
1354,4.23771175,61.53319401,5.8988
1366,4.27306553,38.68167907,4.6349
1372,4.28766759,47.94741501,5.839
1415,4.42943981,51.43309434,6.0551
1421,4.44852189,1.688705,6.3456
1465,4.5719383,11.20628309,6.235
1473,4.58210536,36.78532727,4.5377
1493,4.65924055,31.517234,5.8849
1501,4.67562505,43.79114795,6.079
1502,4.67717477,-43.23557045,6.4922
1562,4.85701294,-8.82382954,3.7314
1599,5.00797597,-64.87762321,4.3442
1630,5.1016333,30.93561533,5.8586
1645,5.14943426,8.19024825,5.5386
1647,5.16267804,-69.62491144,5.496
1657,5.18974482,32.91122838,5.9028
1686,5.28010795,37.96869939,5.2579
1706,5.36976184,-77.42685694,6.1045
1708,5.37990199,-28.98129522,5.3382
1728,5.44264472,-20.05799243,5.439
1772,5.60602185,13.48243405,6.4145
1921,6.06518431,52.01992475,5.5506
1939,6.12362165,-2.21896144,6.2416
1960,6.19786932,61.8310633,5.3941
1982,6.27660738,53.04678513,5.711
2006,6.35090339,1.93972365,5.9256
2021,6.41334187,-77.25503494,2.9305
2072,6.55048403,-43.67990951,3.9946
2081,6.5702816,-42.30512119,2.5512
2086,6.59057814,-18.69360338,6.3218
2100,6.65572225,-0.04953619,6.3578
2159,6.81119658,-25.54713342,6.1516
2210,6.98213616,-33.00704465,4.9006
2219,7.01185216,17.89307506,5.0291
2224,7.05288648,16.44510097,6.1704
2225,7.05660462,44.39448922,5.1998
2235,7.08346729,10.19034139,6.1492
2240,7.11007296,-39.91490177,5.5259
2256,7.17908743,-50.5328463,6.4333
2270,7.236105,36.89970085,6.4453
2337,7.46586892,-14.86402646,6.2385
2353,7.50980389,-3.9572968,5.8315
2355,7.53056606,29.7516954,5.277
2377,7.582974,59.97756392,5.9511
2381,7.5944635,-23.78771444,5.2165
2383,7.608228,-48.21469832,5.7538
2388,7.61594921,-40.93962525,6.2665
2422,7.72581646,77.01948789,6.3408
2472,7.85356682,-48.80356174,4.7736
2474,7.85500776,66.51962668,6.1534
2475,7.85668761,33.58168181,6.0428
2484,7.88566983,-62.9580855,4.3328
2487,7.88898332,-62.96545002,4.5529
2497,7.92171239,52.83955844,5.7599
2505,7.94299141,54.52232512,4.7078
2548,8.09897895,6.95545464,5.698
2568,8.14750357,20.29443334,5.5464
2578,8.18247604,-63.03137879,5.092
2583,8.2045405,28.28022576,6.427
2599,8.24994382,62.93178764,4.2103
2611,8.29301468,54.8950805,6.093
2628,8.33001503,70.98184745,6.419
2629,8.3467727,-71.26621472,6.1872
2661,8.42108793,-29.55820678,5.7087
2707,8.60369322,66.75035215,6.4624
2711,8.61506278,-52.37318304,5.6755
2762,8.81100423,-3.59275792,5.3209
2787,8.88645728,-0.50545896,6.0422
2789,8.88881603,-54.82174824,6.2062
2802,8.92139522,-48.00066056,5.6144
2832,8.97867168,13.20750232,6.4348
2852,9.02876075,-22.84221066,6.139
2854,9.03453122,54.16845377,5.0536
2865,9.08370066,27.25479141,6.4899
2876,9.11392499,60.32621718,5.8676
2900,9.1936294,44.48850967,5.2561
2903,9.1971321,15.23175966,5.8347
2912,9.22016213,33.71935253,4.3098
2920,9.24277909,53.89693155,3.6112
2926,9.28000604,24.01424834,6.3527
2941,9.33244949,-24.76722636,5.7134
2942,9.33844201,35.39951042,5.5949
3031,9.6395805,29.31236894,4.4994
3083,9.79119578,49.35459519,5.564
3092,9.83165586,30.86122597,3.4328
3093,9.84206096,21.25137382,6.03
3137,9.96631195,-44.79633329,6.1735
3138,9.9814748,21.43856443,5.5468
3170,10.10273302,-59.45568119,6.0187
3179,10.1266135,56.53740925,2.4107
3185,10.13501595,-23.80399322,6.2788
3193,10.17658831,-4.35180548,6.0652
3231,10.27998083,39.45867139,5.4579
3245,10.33156671,-46.08500948,4.7591
3269,10.3998969,24.62906485,6.1388
